Player, Team, Pts, Reb, Ast, Stl, Blk, eFG%, TS%, USG%, O-Rt, D-Rt, DRE/36, PER
Matthew Dellavedova, CLE, 6.77%, 4.33%, 18.06%, 7.85%, 2.75%, , , , , , -0.61, , 
Jose Calderon, NYK, 6.75%, 6.29%, 17.72%, 13.49%, 1.50%, 55.20%, 57.10%, 12.60%, 114, 109.8, 0.59, 12.3, 
E’Twaun Moore, CHI, 5.32%, 3.50%, 5.30%, 7.47%, 3.83%, 54.10%, 54.80%, 15.80%, 104.7, 108.6, -0.38, 11.3, 
Garrett Temple, WAS, 6.82%, 6.18%, 6.98%, 9.73%, 5.59%, 48.60%, 52.00%, 14.00%, 103.9, 107.9, -0.51, 9.2, 
Danny Green, SA, 6.76%, 8.39%, 6.74%, 12.07%, 13.11%, 48.00%, 49.20%, 14.60%, 98.9, 99.1, -0.25, 10.4, 
Shane Larkin, BKN, 7.00%, 5.18%, 18.75%, 15.15%, 3.63%, 48.10%, 51.50%, 17.60%, 100.2, 110.7, 0.30, 13.3, 
Nick Young, LAL, 4.81%, 2.73%, 2.34%, 3.74%, 2.11%, 44.20%, 48.30%, 18.60%, 98.1, 114, -2.67, 9.1, 
Aaron Brooks, CHI, 5.89%, 2.66%, 9.64%, 6.06%, 2.13%, 47.10%, 49.40%, 23.10%, 99.2, 110.6, -1.63, 11.9, 
Donald Sloan, BKN, 5.24%, 4.97%, 14.65%, 5.10%, 1.21%, 49.40%, 53.60%, 16.10%, 109.5, 114.9, 0.29, 13.9, 
Brandon Jennings, ORL, 3.97%, 2.70%, 8.85%, 4.30%, 1.68%, 45.20%, 49.10%, 19.70%, 104.6, 109.8, -0.20, 13.4, 
Seth Curry, SAC, 3.43%, 1.67%, 3.37%, 3.03%, 0.83%, 56.70%, 60.30%, 17.40%, 113.5, 113.1, 1.07, 13.8, 
Vince Carter, MEM, 5.21%, 4.50%, 3.46%, 5.28%, 4.64%, 47.40%, 52.00%, 18.60%, 106.4, 108.6, 0.40, 12.8, 
Shaun Livingston, GSW, 5.68%, 4.79%, 10.65%, 8.58%, 5.34%, 53.80%, 58.10%, 14.20%, 118.7, 106.5, 1.94, 13.8, 
Josh Richardson, MIA, 4.39%, 3.42%, 4.84%, 6.55%, 5.42%, 55.00%, 56.90%, 13.70%, 112.7, 107.2, -0.16, 11.3, 
Leandro Barbosa, GSW, 4.72%, 3.10%, 3.46%, 6.27%, 1.91%, 51.50%, 54.50%, 17.90%, 106.2, 106.2, 0.24, 11.7, 
P.J. Hairston, MEM, 4.89%, 4.84%, 2.21%, 4.23%, 3.01%, 44.10%, 47.00%, 16.20%, 93.4, 108.6, -2.82, 6.9, 
Mario Hezonja, ORL, 5.71%, 4.95%, 5.64%, 5.79%, 4.08%, 51.30%, 54.10%, 16.90%, 96.8, 109.4, -1.95, 9.4, 
T.J. McConnell, PHI, 6.17%, 7.39%, 20.79%, 13.97%, 2.02%, 50.30%, 51.10%, 17.00%, 101, 107.9, 1.21, 14.5, 
Bryce Dejean-Jones, NO, 0.94%, 1.37%, 0.83%, 1.58%, 0.58%, , , , , , -0.99, , 
Tim Hardaway Jr., ATL, 3.80%, 2.49%, 2.58%, 2.66%, 1.50%, 52.10%, 56.30%, 16.10%, 109.4, 104.5, -0.09, 11.6, 
Markel Brown, BKN, 4.49%, 3.51%, 4.98%, 6.06%, 4.53%, 45.30%, 50.00%, 19.00%, 99, 112.7, -0.84, 11.2, 
Jason Terry, HOU, 4.97%, 2.36%, 5.70%, 5.68%, 2.22%, 52.50%, 54.00%, 15.10%, 108, 112.2, -0.61, 10.2, 
Tim Frazier, NO, 3.10%, 3.15%, 8.86%, 5.21%, 0.58%, 45.40%, 49.90%, 19.40%, 103.3, 108.4, 0.07, 13.9, 
Raulzinho Neto, UTA, 5.99%, 3.40%, 11.21%, 9.94%, 0.48%, 50.70%, 53.00%, 17.20%, 99.2, 106.7, -1.40, 10.2, 
Jonathon Simmons, SA, 3.79%, 2.60%, 2.81%, 3.61%, 0.94%, 54.10%, 58.60%, 18.90%, 106.2, 102.3, -0.26, 11.9, 
