Player, Pos, Team, Salary, GP, FPPG, FPMAX, Floor, Ceil, %2x, %3x, %4x, %5x, %6x
Marcin Gortat, C, WAS, 6400.00, 10, 29.93, 38.3, 25.02, 34.84, 100.0, 100.0, 80.0, 40.0, 0.0 
Channing Frye, PF, CLE, 3500.00, 11, 12.72, 24.6, 4.8, 20.63, 63.64, 54.55, 36.36, 36.36, 27.27 
JaVale McGee, C, DAL, 3500.00, 1, 4.4, 4.4, 4.4, 4.4, 0.0, 0.0, 0.0, 0.0, 0.0 
DeAndre Jordan, C, LAC, 8300.00, 9, 35.99, 51.5, 27.03, 44.95, 100.0, 100.0, 44.44, 22.22, 11.11 
Roy Hibbert, C, LAL, 4000.00, 9, 16.3, 32.3, 8.11, 24.49, 88.89, 66.67, 44.44, 33.33, 11.11 
Al Jefferson, C, CHA, 5000.00, 9, 23.47, 35.5, 17.94, 29, 100.0, 88.89, 77.78, 22.22, 11.11 
David Lee, PF, DAL, 4200.00, 9, 17.68, 36.2, 7.6, 27.76, 88.89, 66.67, 33.33, 33.33, 22.22 
Dwight Howard, C, HOU, 6500.00, 9, 26.24, 35.6, 19.09, 33.4, 88.89, 77.78, 66.67, 22.22, 0.0 
Blake Griffin, PF, LAC, 8600.00, 2, 13.55, 17, 10.1, 17, 0.0, 0.0, 0.0, 0.0, 0.0 
Nikola Vucevic, C, ORL, 8000.00, 3, 38.17, 44.5, 33.56, 42.77, 100.0, 100.0, 100.0, 33.33, 0.0 
Donatas Motiejunas, PF, HOU, 3500.00, 9, 15.58, 34.3, 6.96, 24.2, 77.78, 77.78, 55.56, 22.22, 22.22 
Enes Kanter, C, OKC, 5300.00, 10, 24.86, 34, 19, 30.72, 100.0, 90.0, 70.0, 40.0, 20.0 
Derrick Williams, PF, NYK, 3700.00, 10, 15.97, 24.6, 9.82, 22.12, 90.0, 80.0, 50.0, 50.0, 20.0 
Tristan Thompson, PF, CLE, 4600.00, 11, 22.65, 40.5, 13.09, 32.2, 90.91, 90.91, 54.55, 54.55, 36.36 
Jordan Hamilton, SF, NOP, 4600.00, 6, 23.8, 30.4, 19, 28.6, 100.0, 100.0, 83.33, 50.0, 33.33 
Markieff Morris, PF, WAS, 5500.00, 9, 26.22, 43.3, 17, 35.44, 88.89, 88.89, 66.67, 44.44, 22.22 
Marcus Morris, SF, DET, 6200.00, 10, 29.11, 57.4, 16.61, 41.61, 90.0, 80.0, 80.0, 40.0, 10.0 
Chandler Parsons, SF, DAL, 6800.00, 1, 22.6, 22.6, 22.6, 22.6, 100.0, 100.0, 0.0, 0.0, 0.0 
Kyle Singler, SF, OKC, 3500.00, 7, 7.62, 12.8, 3.38, 11.85, 57.14, 28.57, 0.0, 0.0, 0.0 
Lavoy Allen, PF, IND, 3500.00, 10, 10.46, 32.2, 2.17, 18.75, 50.0, 40.0, 30.0, 10.0, 10.0 
Tobias Harris, PF, DET, 6400.00, 10, 30.03, 40.5, 23.8, 36.26, 100.0, 100.0, 70.0, 30.0, 20.0 
Kyrie Irving, PG, CLE, 7200.00, 9, 28.98, 44.7, 18.52, 39.44, 88.89, 77.78, 44.44, 33.33, 22.22 
Kemba Walker, PG, CHA, 8100.00, 10, 32.18, 52.7, 20.48, 43.88, 90.0, 80.0, 50.0, 20.0, 10.0 
Isaiah Thomas, PG, BOS, 7700.00, 9, 34, 46.2, 27.52, 40.48, 100.0, 100.0, 55.56, 22.22, 11.11 
Andrew Goudelock, PG, HOU, 3500.00, 1, 6.7, 6.7, 6.7, 6.7, 0.0, 0.0, 0.0, 0.0, 0.0 
Iman Shumpert, SG, CLE, 3700.00, 11, 14.59, 22.6, 9.07, 20.11, 90.91, 72.73, 54.55, 36.36, 9.09 
Reggie Jackson, PG, DET, 5900.00, 10, 26.56, 35.9, 21.46, 31.66, 100.0, 100.0, 60.0, 40.0, 10.0 
